cycle,n,area_sim,area_expected,V_hom,f_dot,dNdt,dMdt,M,anomaly
90,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-3611610.107721,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
91,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-3651298.141872,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
92,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-3690986.176023,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
93,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-3730674.210174,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
94,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-3770362.244324,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
95,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-3810050.278475,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
96,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-3849738.312626,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
97,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-3889426.346777,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
98,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-3929114.380928,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
99,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-3968802.415078,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
100,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-4008490.449229,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
101,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-4048178.483380,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
102,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-4087866.517531,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
103,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-4127554.551682,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
104,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-4167242.585832,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
105,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-4206930.619983,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
106,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-4246618.654134,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
107,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-4286306.688285,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
108,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-4325994.722435,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
109,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-4365682.756586,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
110,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-4405370.790737,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
111,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-4445058.824888,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
112,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-4484746.859039,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
113,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-4524434.893189,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
114,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-4564122.927340,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
115,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-4603810.961491,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
116,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-4643498.995642,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
117,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-4683187.029792,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
118,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-4722875.063943,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
119,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-4762563.098094,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
120,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-4802251.132245,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
121,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-4841939.166396,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
122,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-4881627.200546,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
123,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-4921315.234697,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
124,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-4961003.268848,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
125,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-5000691.302999,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
126,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-5040379.337150,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
127,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-5080067.371300,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
128,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-5119755.405451,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
129,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-5159443.439602,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
130,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-5199131.473753,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
131,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-5238819.507903,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
132,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-5278507.542054,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
133,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-5318195.576205,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
134,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-5357883.610356,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
135,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-5397571.644507,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
